name,location__type,latitude,longitude,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Pav Bhaji chinese,,18°57′15″ N,72°48′44″ E,Mumbai,Maharahstra ,pav bhaji,chowmein,4 star,3 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737122762/pavbhajichinese_aqtzrp.jpg
Kapoor Punjabi kulfi,,18°57′15″ N,72°48′44″ E,Mumbai,Maharahstra ,kulfi,gola,5 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737122848/kapoor_ic7mqq.jpg
Karthik pav bhaji,,18°57′15″ N,72°48′44″ E,Mumbai,Maharahstra ,pav bhaji,vada pav,3 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737123007/karthik_ltuelo.jxl
Mashallah,,18°57′26″ N,72°50′04″ E,Mumbai,Maharahstra ,biryani,samosa,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737123230/mashallah_umxicv.webp
Shabbir's sweets,,18°57′26″ N,72°50′04″ E,Mumbai,Maharahstra ,ice cream,kulfi,4 star,5 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737123398/shabir_shfxbv.webp
Lenin pav bhaji,,19°05′05″ N,72°54′32″ E,Mumbai,Maharahstra ,pav bhaji,manchurian,2 star,2 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737123609/lenin_ztevuw.jpg
Jay Ganesh vada pav,,19°05′05″ N,72°54′32″ E,Mumbai,Maharahstra ,vada pav,tea,2 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737124020/jaiganesh_hjiisg.webp
Lalit bhel puri,,19°05′05″ N,72°54′32″ E,Mumbai,Maharahstra ,bhel puri/sev puri,kachori,2 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737124203/lalit_gemkj8.jpg
Cornasm,,19°03′49″ N,72°49′46″ E,Mumbai,Maharahstra ,corn,,2 star,2 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737124757/cornasm_sf1r47.jpg
Juice n more,,19°03′49″ N,72°49′46″ E,Mumbai,Maharahstra ,juice ,falooda,3 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737124830/juicenmore_xquslf.avif
Amritsar dhaba,,19°03′49″ N,72°49′46″ E,Mumbai,Maharahstra ,kulcha,dal makhni,3 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737124965/amritsardhaba_icrgci.avif
Shivsagar bhelpuri,,18°55′18″ N,72°50′00″ E,Mumbai,Maharahstra ,bhel puri/sev puri,pani puri,2 star,5 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737125227/shivsagarbhel_sxfbus.jpg
Balaji cafe,,19°01′14″ N,72°50′17″ E,Mumbai,Maharahstra ,idli ,medu vada,3 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737125482/balajicafe_yxryjt.jpg
